forum,id
1,ABSTURZ... von der Treppenkante
1,der Roomba 780 von iRobot verrichtete seit 2 Tagen zufriedenstellend seinen Dienst bei uns...
1,Am dritten Tag bewegte sich der Roboter plötzlich auf unsere Treppenkante zu und stürzte mit voller Wucht ins Erdgeschoss…
1,"Das Ergebnis: 6 mit tiefen Einkerbungen verunstaltete Holz-Treppenstufen, Schrammen am Roomba 780, Schock des Eigentümers hinsichtlich seiner Technik-Begeisterung und seines unendlichen Vertrauens…"
1,Jetzt steht der kleine Ker vorerst unter permanenter Beobachtung... noch saugt er ja...
1,Die Treppe wird mit einer Holzlatte gesichert…
1,Auf sogenannte Lighthouses will man sich ab sofort nicht mehr verlassen...
1,"Verarbeitung Ok, Programm schlecht"
1,"Er verrichtet seine Arbeit sicher hervorragend in einer Laborumgebung, aber wenn man zuhause Stühle, Schränke mit der falschen Fußhöhe oder Kabel hat, macht er wenig Spaß."
1,"Ich hoffe, dass sich die Technik irgendwann weiter entwickelt, denn vom Grundprinzip her wäre es schon recht praktisch."
1,Ich bin sehr enttäuscht
1,Ich habe sehr viel gelesen über einen Saugroboter und hab mich für den Roomba 780 entschieden.
1,Ich habe einen Hund und muss daher fast täglich saugen.
1,Mit dem Saugroboter wollte ich mir eine Erleichterung verschaffen.
1,Nachdem er etwa 470 euro gekostet hat waren meine Erwartungen entsprechend hoch.
1,"Freunde haben mich auch noch überredet, da sie einen eigenen haben."
1,"Kurz vorweg: ich ärger mich über mich selber, dass ich den schlechten Rezessionen so wenig Beachtung geschenkt habe."
1,Die Lieferung war wie immer tadellos.
1,Er kam schnell und gut verpackt.
1,Im Paket war alles enthalten und optisch macht er wirklich was her.
1,Aufladen und einstellen war alles ganz einfach und schon wurde er getestet.
1,"Er ist zwar nicht besonders leise, was mich aber nicht so stören würde, weil ich ihn einfach während dem Gassi losgeschickt hätte."
1,Das Erdgeschoss bei uns hat etwa 40 qm.
1,"Es gibt einen 2 cm hohen Teppich, einen Barhocker, 4 Stühle und einen Tisch als Hindernis."
1,Also ganz normal.
1,"Also der Roomba fuhr los, und nach etwa 2 Minuten zurück zur Ladestation und war fertig."
1,"Kein scherz: er hat nicht mal 1 qm """"gekehrt"""", saugen tut er ja nicht, und war seiner Meinung nach fertig."
1,Ich habe ihn dann mittig des Wohnzimmers gestellt und den weg zur Ladestation versperrt.
1,Er fuhr wieder los und fuhr in die Küche.
1,Dort hat er gleich mal die Sockelleiste abgerissen.
1,"Er fuhr zwei mal hin und her, ließ einige Hundehaare zurück und fuhr in den Flur."
1,Dort blieb er sofort unter einem Schuhschrank hängen und beendete wieder sein Saugprogramm.
1,Ich habe ihn befreit und es ging weiter.
1,Er fuhr zum Abtreter an der Haustür schob diesen hin und her und verursachte mehr Dreck als vorher sichtbar.
1,Den Dreck lies er liegen und fuhr ins Wohnzimmer zurück wo er sofort an dem Teppich hängen blieb.
1,"Gerade der war mir wichtig sauber zu werden, doch da kommt er nicht hoch."
1,"Und mal ehrlich, es ist kein Langfloorteppich."
1,Selbst an den Stuhlbeinen hängt er sich auf.
1,"Im Bad gibt es einen Badteppich, sehr dünn, der ist wiederum zu leicht für den Sauger."
1,Er schiebt ihn nur beiseite.
1,In der Küche ist mir etwas Kakaopulver auf den Boden gefallen.
1,Ihr glaubt doch nicht im ernst dass er das problemlos schafft.
1,Er ist halt nur eine Kehrmaschiene.
1,In 90 gradecken kommt er übrigens auch nicht.
1,Eigentlich mag ich gar nicht weiter schreiben weil ich nur noch wütender werde.
1,"Sollte man es schaffen dass der Roboter ohne sich aufzuhängen weiter saugt, dann müsst ihr für die 40 qm mit 1-1.5 stunden Kehrzeit rechnen."
1,"Mal ehrlich, mit nem normalen Sauger ist man in ner viertel stunde fertig."
1,"Da man ja nicht 0 Sterne vergeben kann, versuche ich noch einen positiven Satz für den einen stern zu schreiben."
1,"Der Roomba, wenn er es überhaupt bis dahin schafft, hat unter dem Hundebett gekehrt."
1,Das muss ich normalerweise erst wegschieben um mit einem normalen Staubsauger hinzukommen.
1,Das gleiche gilt für das Ehebett.
1,Weiterhin schafft er es unter den Türblättern den staub und die haare vorzuholen.
1,"Positiv ist noch, dass er beutellos ist, aber hat man ein Haustier dann ist der Behälter viel zu klein."
1,"Alles in allem, der letzte schei..., ich bin sehr enttäuscht und das teil geht nach nur einer Woche zurück."
1,Irobot ist der letzte Müll
1,Ich habe mir den irobot bestellt wegen der guten Bewertung und auch bei Stiftung Warentest war er der beste ..voller Vorfreude habe ich ihn installiert…
1,Und dann nahm das grauen fahrt auf...
1,Erst war alles ok bis er ständig versuchte unter die möbel zu kommen er blieb jedoch jedesmal mit seine Empfänger hängen....
